"date","stock"
1990-03-01,"921456"
1990-03-01,"921182"
1990-03-01,"912369"
1990-03-01,"923443"
1990-03-01,"902251"
1990-03-01,"930480"
1990-03-01,"951048"
1990-03-01,"923464"
1990-03-01,"912138"
1990-03-01,"921831"
1990-03-01,"902230"
1990-03-01,"904259"
1990-03-01,"912481"
1990-03-01,"906188"
1990-03-01,"923449"
1990-03-01,"951018"
1990-03-01,"544083"
1990-03-01,"907652"
1990-03-01,"906150"
1990-03-01,"912252"
1990-03-01,"905801"
1990-03-01,"905171"
1990-03-01,"912223"
1990-03-01,"912251"
1990-03-01,"905125"
1990-03-01,"906511"
1990-03-01,"904835"
1990-03-01,"916145"
1990-03-01,"921875"
1990-03-01,"905078"
1990-03-01,"923564"
1990-03-01,"906179"
1990-03-01,"904837"
1990-03-01,"904363"
1990-03-01,"905898"
1990-03-01,"902260"
1990-03-01,"905403"
1990-03-01,"921697"
1990-03-01,"904678"
1990-03-01,"905609"
1990-03-01,"912719"
1990-03-01,"921969"
1990-03-01,"916107"
1990-03-01,"921460"
1990-03-01,"905409"
1990-03-01,"944195"
1990-03-01,"912030"
1990-03-01,"902262"
1990-03-01,"921049"
1990-03-01,"905129"
1990-03-01,"905077"
1990-03-01,"905277"
1990-03-01,"916209"
1990-03-01,"998171"
1990-03-01,"921050"
1990-03-01,"906191"
1990-03-01,"902197"
1990-03-01,"905027"
1990-03-01,"904842"
1990-03-01,"916860"
1990-03-01,"923400"
1990-03-01,"906174"
1990-03-01,"905052"
1990-03-01,"515133"
1990-03-01,"905446"
1990-03-01,"912227"
1990-03-01,"922726"
1990-03-01,"905804"
1990-03-01,"997329"
1990-03-01,"921397"
1990-03-01,"906187"
1990-03-01,"905050"
1990-03-01,"904069"
1990-03-01,"930055"
1990-03-01,"916351"
1990-03-01,"912212"
1990-03-01,"907677"
1990-03-01,"906406"
1990-03-01,"906366"
1990-03-01,"729935"
1990-03-01,"905922"
1990-03-01,"905142"
1990-03-01,"902354"
1990-03-01,"905516"
1990-03-01,"916839"
1990-03-01,"912134"
1990-03-01,"921290"
1990-03-01,"937343"
1990-03-01,"912402"
1990-03-01,"904899"
1990-03-01,"997563"
1990-03-01,"905018"
1990-03-01,"921365"
1990-03-01,"912808"
1990-03-01,"921601"
1990-03-01,"944997"
1990-03-01,"905056"
1990-03-01,"929799"
1990-03-01,"905620"
1990-03-01,"906684"
1990-03-01,"912812"
1990-03-01,"912176"
1990-03-01,"923020"
1990-03-01,"921284"
1990-03-01,"906545"
1990-03-01,"904848"
1990-03-01,"912588"
1990-03-01,"904780"
1990-03-01,"921698"
1990-03-01,"905624"
1990-03-01,"907736"
1990-03-01,"912811"
1990-03-01,"906147"
1990-03-01,"904525"
1990-03-01,"905353"
1990-03-01,"938892"
1990-03-01,"921910"
1990-03-01,"921699"
1990-03-01,"905414"
1990-03-01,"904736"
1990-03-01,"905806"
1990-03-01,"906496"
1990-03-01,"933189"
1990-03-01,"902266"
1990-03-01,"905019"
1990-03-01,"921293"
1990-03-01,"922060"
1990-03-01,"906181"
1990-03-01,"912856"
1990-03-01,"902172"
1990-03-01,"906184"
1990-03-01,"921476"
1990-03-01,"902221"
1990-03-01,"740337"
1990-03-01,"902247"
1990-03-01,"541917"
1990-03-01,"904878"
1990-03-01,"741924"
1990-03-01,"905354"
1990-03-01,"902239"
1990-03-01,"905519"
1990-03-01,"904464"
1990-03-01,"993249"
1990-03-01,"516649"
1990-03-01,"905005"
1990-03-01,"912376"
1990-03-01,"906175"
1990-03-01,"912374"
1990-03-01,"905625"
1990-03-01,"921463"
1990-03-01,"912377"
1990-03-01,"906933"
1990-03-01,"912160"
1990-03-01,"905006"
1990-03-01,"902283"
1990-03-01,"906560"
1990-03-01,"901899"
1990-03-01,"938801"
1990-03-01,"905809"
1990-03-01,"921385"
1990-03-01,"921482"
1990-03-01,"945386"
1990-03-01,"904480"
1990-03-01,"905102"
1990-03-01,"921911"
1990-03-01,"905159"
1990-03-01,"719618"
1990-03-01,"759710"
1990-03-01,"946470"
1990-03-01,"906512"
1990-03-01,"905771"
1990-03-01,"921757"
1990-03-01,"902314"
1990-03-01,"944175"
1990-03-01,"901897"
1990-03-01,"921016"
1990-03-01,"905012"
1990-03-01,"945387"
1990-03-01,"921484"
1990-03-01,"912131"
1990-03-01,"902315"
1990-03-01,"905675"
1990-03-01,"905150"
1990-03-01,"912781"
1990-03-01,"905791"
1990-03-01,"902316"
1990-03-01,"905677"
1990-03-01,"916427"
1990-03-01,"912157"
1990-03-01,"904030"
1990-03-01,"904262"
1990-03-01,"904853"
1990-03-01,"912517"
1990-03-01,"901666"
1990-03-01,"905118"
1990-03-01,"906069"
1990-03-01,"756803"
1990-03-01,"904854"
1990-03-01,"907624"
1990-03-01,"741346"
1990-03-01,"938532"
1990-03-01,"912488"
1990-03-01,"912228"
1990-03-01,"904820"
1990-03-01,"923418"
1990-03-01,"902321"
1990-03-01,"902320"
1990-03-01,"912518"
1990-03-01,"905810"
1990-03-01,"904851"
1990-03-01,"916312"
1990-03-01,"921139"
1990-03-01,"912271"
1990-03-01,"912633"
1990-03-01,"702317"
1990-03-01,"905693"
1990-03-01,"923497"
1990-03-01,"902233"
1990-03-01,"905081"
1990-03-01,"938293"
1990-03-01,"907620"
1990-03-01,"518197"
1990-03-01,"905925"
1990-03-01,"921226"
1990-03-01,"938672"
1990-03-01,"906284"
1990-03-01,"916028"
1990-03-01,"945388"
1990-03-01,"916137"
1990-03-01,"981720"
1990-03-01,"904849"
1990-03-01,"945627"
1990-03-01,"906180"
1990-03-01,"921314"
1990-03-01,"912090"
1990-03-01,"912632"
1990-03-01,"916111"
1990-03-01,"518436"
1990-03-01,"904857"
1990-03-01,"905761"
1990-03-01,"916741"
1990-03-01,"906998"
1990-03-01,"912311"
1990-03-01,"905361"
1990-03-01,"923513"
1990-03-01,"921693"
1990-03-01,"906400"
1990-03-01,"906149"
1990-03-01,"902325"
1990-03-01,"951072"
1990-03-01,"921146"
1990-03-01,"904864"
1990-03-01,"905023"
1990-03-01,"981683"
1990-03-01,"933974"
1990-03-01,"921503"
1990-03-01,"921232"
1990-03-01,"902350"
1990-03-01,"922725"
1990-03-01,"905255"
1990-03-01,"905119"
1990-03-01,"912401"
1990-03-01,"916079"
1990-03-01,"921855"
1990-03-01,"905682"
1990-03-01,"902329"
1990-03-01,"951606"
1990-03-01,"923425"
1990-03-01,"904897"
1990-03-01,"951574"
1990-03-01,"903736"
1990-03-01,"945727"
1990-03-01,"912969"
1990-03-01,"904598"
1990-03-01,"906177"
1990-03-01,"905061"
1990-03-01,"921649"
1990-03-01,"501541"
1990-03-01,"921645"
1990-03-01,"905423"
1990-03-01,"905062"
1990-03-01,"903720"
1990-03-01,"907615"
1990-03-01,"993394"
1990-03-01,"904146"
1990-03-01,"904257"
1990-03-01,"916029"
1990-03-01,"741344"
1990-03-01,"945065"
1990-03-01,"907697"
1990-03-01,"905063"
1990-03-01,"945389"
1990-03-01,"912260"
1990-03-01,"907689"
1990-03-01,"901893"
1990-03-01,"905845"
1990-03-01,"921153"
1990-03-01,"906186"
1990-03-01,"902287"
1990-03-01,"936872"
1990-03-01,"901894"
1990-03-01,"906171"
1990-03-01,"905105"
1990-03-01,"905274"
1990-03-01,"922843"
1990-03-01,"905122"
1990-03-01,"904263"
1990-03-01,"921323"
1990-03-01,"901892"
1990-03-01,"519803"
1990-03-01,"945384"
1990-03-01,"916548"
1990-03-01,"904866"
1990-03-01,"921964"
1990-03-01,"982124"
1990-03-01,"905364"
1990-03-01,"922785"
1990-03-01,"905083"
1990-03-01,"906195"
1990-03-01,"951583"
1990-03-01,"902170"
1990-03-01,"933092"
1990-03-01,"905025"
1990-03-01,"905637"
1990-03-01,"905818"
1990-03-01,"904869"
1990-03-01,"906265"
1990-03-01,"922407"
1990-03-01,"901700"
1990-03-01,"902272"
1990-03-01,"944345"
1990-03-01,"921154"
1990-03-01,"905010"
1990-03-01,"905284"
1990-03-01,"905368"
1990-03-01,"904870"
1990-03-01,"923580"
1990-04-01,"905270"
1990-04-01,"921795"
1990-04-01,"904261"
1990-04-01,"905261"
1990-04-01,"916328"
1990-04-01,"923024"
1990-04-01,"936365"
1990-04-01,"902355"
1990-04-01,"912215"
1990-04-01,"929813"
1990-04-01,"905271"
1990-04-01,"921246"
1990-04-01,"923116"
1990-04-01,"952192"
1990-04-01,"905113"
1990-04-01,"912145"
1990-04-01,"905339"
1990-04-01,"951022"
1990-04-01,"905802"
1990-04-01,"906190"
1990-04-01,"905425"
1990-04-01,"906156"
1990-04-01,"912201"
1990-04-01,"921249"
1990-04-01,"906151"
1990-04-01,"916305"
1990-04-01,"921917"
1990-04-01,"945383"
1990-04-01,"905420"
1990-04-01,"992814"
1990-04-01,"912059"
1990-04-01,"992816"
1990-04-01,"921093"
1990-04-01,"902337"
1990-04-01,"901646"
1990-04-01,"905342"
1990-04-01,"904272"
1990-04-01,"702259"
1990-04-01,"912669"
1990-04-01,"921161"
1990-04-01,"905793"
1990-04-01,"921431"
1990-04-01,"932060"
1990-04-01,"905175"
1990-04-01,"904332"
1990-04-01,"951043"
1990-04-01,"923937"
1990-04-01,"902173"
1990-04-01,"902238"
1990-04-01,"905592"
1990-04-01,"930857"
1990-04-01,"905384"
1990-04-01,"905439"
1990-04-01,"916365"
1990-04-01,"905876"
1990-04-01,"945385"
1990-04-01,"912125"
1990-04-01,"906402"
1990-04-01,"902338"
1990-04-01,"923643"
1990-04-01,"905147"
1990-04-01,"905596"
1990-04-01,"904818"
1990-04-01,"905491"
1990-04-01,"912199"
1990-04-01,"905343"
1990-04-01,"905080"
1990-04-01,"905685"
1990-04-01,"921334"
1990-04-01,"912216"
1990-04-01,"916109"
1990-04-01,"921436"
1990-04-01,"916098"
1990-04-01,"904825"
1990-04-01,"912278"
1990-04-01,"907737"
1990-04-01,"945551"
1990-04-01,"902257"
1990-04-01,"993189"
1990-04-01,"912635"
1990-04-01,"912151"
1990-04-01,"905075"
1990-04-01,"921807"
1990-04-01,"902255"
1990-04-01,"902224"
1990-04-01,"916604"
1990-04-01,"906182"
1990-04-01,"905479"
1990-04-01,"912909"
1990-04-01,"906839"
1990-04-01,"906196"
1990-04-01,"902242"
1990-04-01,"905024"
1990-04-01,"904803"
1990-04-01,"916790"
1990-04-01,"912455"
1990-04-01,"902245"
1990-04-01,"912060"
1990-04-01,"916125"
1990-04-01,"916407"
1990-04-01,"904282"
1990-04-01,"906148"
1990-04-01,"902198"
1990-04-01,"981550"
1990-04-01,"916944"
1990-04-01,"998326"
1990-04-01,"916091"
1990-04-01,"929814"
1990-04-01,"749321"
1990-04-01,"902288"
1990-04-01,"905140"
1990-04-01,"902289"
1990-04-01,"906018"
1990-04-01,"912568"
1990-04-01,"905997"
1990-04-01,"912273"
1990-04-01,"923709"
1990-04-01,"903705"
1990-04-01,"906899"
1990-04-01,"932188"
1990-04-01,"912188"
1990-04-01,"905966"
1990-04-01,"951020"
1990-04-01,"938424"
1990-04-01,"905214"
1990-04-01,"912646"
1990-04-01,"932136"
1990-04-01,"930531"
1990-04-01,"906189"
1990-04-01,"912595"
1990-04-01,"916704"
1990-04-01,"902351"
1990-04-01,"916382"
1990-04-01,"923731"
1990-04-01,"944314"
1990-04-01,"905047"
1990-04-01,"904830"
1990-04-01,"905114"
1990-04-01,"905706"
1990-04-01,"902227"
1990-04-01,"902199"
1990-04-01,"904383"
1990-04-01,"905139"
1990-04-01,"921600"
1990-04-01,"904408"
1990-04-01,"912901"
1990-04-01,"902175"
1990-04-01,"903749"
1990-04-01,"916418"
1990-04-01,"945421"
1990-04-01,"921268"
1990-04-01,"902324"
1990-04-01,"905115"
1990-04-01,"997471"
1990-04-01,"905190"
1990-04-01,"902306"
1990-04-01,"902190"
1990-04-01,"902317"
1990-04-01,"905039"
1990-04-01,"905082"
1990-04-01,"905016"
1990-04-01,"916901"
1990-04-01,"951849"
1990-04-01,"921456"
1990-04-01,"921182"
1990-04-01,"912369"
1990-04-01,"923443"
1990-04-01,"902251"
1990-04-01,"930480"
1990-04-01,"951048"
1990-04-01,"923464"
1990-04-01,"912138"
1990-04-01,"921831"
1990-04-01,"902230"
1990-04-01,"904259"
1990-04-01,"912481"
1990-04-01,"906188"
1990-04-01,"923449"
1990-04-01,"951018"
1990-04-01,"544083"
1990-04-01,"907652"
1990-04-01,"906150"
1990-04-01,"912252"
1990-04-01,"905801"
1990-04-01,"905171"
1990-04-01,"912223"
1990-04-01,"912251"
1990-04-01,"905125"
1990-04-01,"906511"
1990-04-01,"904835"
1990-04-01,"916145"
1990-04-01,"921875"
1990-04-01,"905078"
1990-04-01,"923564"
1990-04-01,"906179"
1990-04-01,"904837"
1990-04-01,"904363"
1990-04-01,"905898"
1990-04-01,"902260"
1990-04-01,"905403"
1990-04-01,"921697"
1990-04-01,"904678"
1990-04-01,"905609"
1990-04-01,"912719"
1990-04-01,"921969"
1990-04-01,"916107"
1990-04-01,"921460"
1990-04-01,"905409"
1990-04-01,"944195"
1990-04-01,"912030"
1990-04-01,"902262"
1990-04-01,"921049"
1990-04-01,"905129"
1990-04-01,"905077"
1990-04-01,"905277"
1990-04-01,"916209"
1990-04-01,"998171"
1990-04-01,"921050"
1990-04-01,"906191"
1990-04-01,"902197"
1990-04-01,"905027"
1990-04-01,"904842"
1990-04-01,"916860"
1990-04-01,"923400"
1990-04-01,"906174"
1990-04-01,"905052"
1990-04-01,"515133"
1990-04-01,"905446"
1990-04-01,"912227"
1990-04-01,"922726"
1990-04-01,"905804"
1990-04-01,"997329"
1990-04-01,"921397"
1990-04-01,"906187"
1990-04-01,"905050"
1990-04-01,"904069"
1990-04-01,"930055"
1990-04-01,"916351"
1990-04-01,"912212"
1990-04-01,"907677"
1990-04-01,"906406"
1990-04-01,"906366"
1990-04-01,"729935"
1990-04-01,"905922"
1990-04-01,"905142"
1990-04-01,"902354"
1990-04-01,"905516"
1990-04-01,"916839"
1990-04-01,"912134"
1990-04-01,"921290"
1990-04-01,"937343"
1990-04-01,"912402"
1990-04-01,"904899"
1990-04-01,"997563"
1990-04-01,"905018"
1990-04-01,"921365"
1990-04-01,"912808"
1990-04-01,"921601"
1990-04-01,"944997"
1990-04-01,"905056"
1990-04-01,"929799"
1990-04-01,"905620"
1990-04-01,"906684"
1990-04-01,"912812"
1990-04-01,"912176"
1990-04-01,"923020"
1990-04-01,"921284"
1990-04-01,"906545"
1990-04-01,"904848"
1990-04-01,"912588"
1990-04-01,"904780"
1990-04-01,"921698"
1990-04-01,"905624"
1990-04-01,"907736"
1990-04-01,"912811"
1990-04-01,"906147"
1990-04-01,"904525"
1990-04-01,"905353"
1990-04-01,"938892"
1990-04-01,"921910"
1990-04-01,"921699"
1990-04-01,"905414"
1990-04-01,"904736"
1990-04-01,"905806"
1990-04-01,"906496"
1990-04-01,"933189"
1990-04-01,"902266"
1990-04-01,"905019"
1990-04-01,"921293"
1990-04-01,"922060"
1990-04-01,"906181"
1990-04-01,"912856"
1990-04-01,"902172"
1990-04-01,"906184"
1990-04-01,"921476"
1990-04-01,"902221"
1990-04-01,"740337"
1990-04-01,"902247"
1990-04-01,"541917"
1990-04-01,"904878"
1990-04-01,"741924"
1990-04-01,"905354"
1990-04-01,"902239"
1990-04-01,"905519"
1990-04-01,"904464"
1990-04-01,"993249"
1990-04-01,"516649"
1990-04-01,"905005"
1990-04-01,"912376"
1990-04-01,"906175"
1990-04-01,"912374"
1990-04-01,"905625"
1990-04-01,"921463"
1990-04-01,"912377"
1990-04-01,"906933"
1990-04-01,"912160"
1990-04-01,"905006"
1990-04-01,"902283"
1990-04-01,"906560"
1990-04-01,"901899"
1990-04-01,"938801"
1990-04-01,"905809"
1990-04-01,"921385"
1990-04-01,"921482"
1990-04-01,"945386"
1990-04-01,"904480"
1990-04-01,"905102"
1990-04-01,"921911"
1990-04-01,"905159"
1990-04-01,"719618"
1990-04-01,"759710"
1990-04-01,"946470"
1990-04-01,"906512"
1990-04-01,"905771"
1990-04-01,"921757"
1990-04-01,"902314"
1990-04-01,"944175"
1990-04-01,"901897"
1990-04-01,"921016"
1990-04-01,"905012"
1990-04-01,"945387"
1990-04-01,"921484"
1990-04-01,"912131"
1990-04-01,"902315"
1990-04-01,"905675"
1990-04-01,"905150"
1990-04-01,"912781"
1990-04-01,"905791"
1990-04-01,"902316"
1990-04-01,"905677"
1990-04-01,"916427"
1990-04-01,"912157"
1990-04-01,"904030"
1990-04-01,"904262"
1990-04-01,"904853"
1990-04-01,"912517"
1990-04-01,"901666"
1990-04-01,"905118"
1990-04-01,"906069"
1990-04-01,"756803"
1990-04-01,"904854"
1990-04-01,"907624"
1990-04-01,"741346"
1990-04-01,"938532"
1990-04-01,"912488"
1990-04-01,"912228"
1990-04-01,"904820"
1990-04-01,"923418"
1990-04-01,"902321"
1990-04-01,"902320"
1990-04-01,"912518"
1990-04-01,"905810"
1990-04-01,"904851"
1990-04-01,"916312"
1990-04-01,"921139"
1990-04-01,"912271"
1990-04-01,"912633"
1990-04-01,"702317"
1990-04-01,"905693"
1990-04-01,"923497"
1990-04-01,"902233"
1990-04-01,"905081"
1990-04-01,"938293"
1990-04-01,"907620"
1990-04-01,"518197"
1990-04-01,"905925"
1990-04-01,"921226"
1990-04-01,"938672"
1990-04-01,"906284"
1990-04-01,"916028"
1990-04-01,"945388"
1990-04-01,"916137"
1990-04-01,"981720"
1990-04-01,"904849"
1990-04-01,"945627"
1990-04-01,"906180"
1990-04-01,"921314"
1990-04-01,"912090"
1990-04-01,"912632"
1990-04-01,"916111"
1990-04-01,"518436"
1990-04-01,"904857"
1990-04-01,"905761"
1990-04-01,"916741"
1990-04-01,"906998"
1990-04-01,"912311"
1990-04-01,"905361"
1990-04-01,"923513"
1990-04-01,"921693"
1990-04-01,"906400"
1990-04-01,"906149"
1990-04-01,"902325"
1990-04-01,"951072"
1990-04-01,"921146"
1990-04-01,"904864"
1990-04-01,"905023"
1990-04-01,"981683"
1990-04-01,"933974"
1990-04-01,"921503"
1990-04-01,"921232"
1990-04-01,"902350"
1990-04-01,"922725"
1990-04-01,"905255"
1990-04-01,"905119"
1990-04-01,"912401"
1990-04-01,"916079"
1990-04-01,"921855"
1990-04-01,"905682"
1990-04-01,"902329"
1990-04-01,"951606"
1990-04-01,"923425"
1990-04-01,"904897"
1990-04-01,"951574"
1990-04-01,"903736"
1990-04-01,"945727"
1990-04-01,"912969"
1990-04-01,"904598"
1990-04-01,"906177"
1990-04-01,"905061"
1990-04-01,"921649"
1990-04-01,"501541"
1990-04-01,"921645"
1990-04-01,"905423"
1990-04-01,"905062"
1990-04-01,"903720"
1990-04-01,"907615"
1990-04-01,"993394"
1990-04-01,"904146"
1990-04-01,"904257"
1990-04-01,"916029"
1990-04-01,"741344"
1990-04-01,"945065"
1990-04-01,"907697"
1990-04-01,"905063"
1990-04-01,"945389"
1990-04-01,"912260"
1990-04-01,"907689"
1990-04-01,"901893"
1990-04-01,"905845"
1990-04-01,"921153"
1990-04-01,"906186"
1990-04-01,"902287"
1990-04-01,"936872"
1990-04-01,"901894"
1990-04-01,"906171"
1990-04-01,"905105"
1990-04-01,"905274"
1990-04-01,"922843"
1990-04-01,"905122"
1990-04-01,"904263"
1990-04-01,"921323"
1990-04-01,"901892"
1990-04-01,"519803"
1990-04-01,"945384"
1990-04-01,"916548"
1990-04-01,"904866"
1990-04-01,"921964"
1990-04-01,"982124"
1990-04-01,"905364"
1990-04-01,"922785"
1990-04-01,"905083"
1990-04-01,"906195"
1990-04-01,"951583"
1990-04-01,"902170"
1990-04-01,"933092"
1990-04-01,"905025"
1990-04-01,"905637"
1990-04-01,"905818"
1990-04-01,"904869"
1990-04-01,"906265"
1990-04-01,"922407"
1990-04-01,"901700"
1990-04-01,"902272"
1990-04-01,"944345"
1990-04-01,"921154"
1990-04-01,"905010"
1990-04-01,"905284"
1990-04-01,"905368"
1990-04-01,"904870"
1990-04-01,"923580"
1990-05-01,"905270"
1990-05-01,"921795"
1990-05-01,"904261"
1990-05-01,"905261"
1990-05-01,"916328"
1990-05-01,"923024"
1990-05-01,"936365"
1990-05-01,"902355"
1990-05-01,"912215"
1990-05-01,"929813"
1990-05-01,"905271"
1990-05-01,"921246"
1990-05-01,"923116"
1990-05-01,"952192"
1990-05-01,"905113"
1990-05-01,"912145"
1990-05-01,"905339"
1990-05-01,"951022"
1990-05-01,"905802"
1990-05-01,"906190"
1990-05-01,"905425"
1990-05-01,"906156"
1990-05-01,"912201"
1990-05-01,"921249"
1990-05-01,"906151"
1990-05-01,"916305"
1990-05-01,"921917"
1990-05-01,"945383"
1990-05-01,"905420"
1990-05-01,"992814"
1990-05-01,"912059"
1990-05-01,"992816"
1990-05-01,"921093"
1990-05-01,"902337"
1990-05-01,"901646"
1990-05-01,"905342"
1990-05-01,"904272"
1990-05-01,"702259"
1990-05-01,"912669"
1990-05-01,"921161"
1990-05-01,"905793"
1990-05-01,"921431"
1990-05-01,"932060"
1990-05-01,"905175"
1990-05-01,"904332"
1990-05-01,"951043"
1990-05-01,"923937"
1990-05-01,"902173"
1990-05-01,"902238"
1990-05-01,"905592"
1990-05-01,"930857"
1990-05-01,"905384"
1990-05-01,"905439"
1990-05-01,"916365"
1990-05-01,"905876"
1990-05-01,"945385"
1990-05-01,"912125"
1990-05-01,"906402"
1990-05-01,"902338"
1990-05-01,"923643"
1990-05-01,"905147"
1990-05-01,"905596"
1990-05-01,"904818"
1990-05-01,"905491"
1990-05-01,"912199"
1990-05-01,"905343"
1990-05-01,"905080"
1990-05-01,"905685"
1990-05-01,"921334"
1990-05-01,"912216"
1990-05-01,"916109"
1990-05-01,"921436"
1990-05-01,"916098"
1990-05-01,"904825"
1990-05-01,"912278"
1990-05-01,"907737"
1990-05-01,"945551"
1990-05-01,"902257"
1990-05-01,"993189"
1990-05-01,"912635"
1990-05-01,"912151"
1990-05-01,"905075"
1990-05-01,"921807"
1990-05-01,"902255"
1990-05-01,"902224"
1990-05-01,"916604"
1990-05-01,"906182"
1990-05-01,"905479"
1990-05-01,"912909"
1990-05-01,"906839"
1990-05-01,"906196"
1990-05-01,"902242"
1990-05-01,"905024"
1990-05-01,"904803"
1990-05-01,"916790"
1990-05-01,"912455"
1990-05-01,"902245"
1990-05-01,"912060"
1990-05-01,"916125"
1990-05-01,"916407"
1990-05-01,"904282"
1990-05-01,"906148"
1990-05-01,"902198"
1990-05-01,"981550"
1990-05-01,"916944"
1990-05-01,"998326"
1990-05-01,"916091"
1990-05-01,"929814"
1990-05-01,"749321"
1990-05-01,"902288"
1990-05-01,"905140"
1990-05-01,"902289"
1990-05-01,"906018"
1990-05-01,"912568"
1990-05-01,"921264"
1990-05-01,"905997"
1990-05-01,"912273"
1990-05-01,"923709"
1990-05-01,"903705"
1990-05-01,"906899"
1990-05-01,"932188"
1990-05-01,"912188"
1990-05-01,"905966"
1990-05-01,"951020"
1990-05-01,"938424"
1990-05-01,"905214"
1990-05-01,"912646"
1990-05-01,"932136"
1990-05-01,"930531"
1990-05-01,"906189"
1990-05-01,"912595"
1990-05-01,"916704"
1990-05-01,"902351"
1990-05-01,"916382"
1990-05-01,"923731"
1990-05-01,"944314"
1990-05-01,"905047"
1990-05-01,"904830"
1990-05-01,"905114"
1990-05-01,"905706"
1990-05-01,"902227"
1990-05-01,"902199"
1990-05-01,"904383"
1990-05-01,"905139"
1990-05-01,"921600"
1990-05-01,"904408"
1990-05-01,"912901"
1990-05-01,"902175"
1990-05-01,"903749"
1990-05-01,"916418"
1990-05-01,"945421"
1990-05-01,"921268"
1990-05-01,"902324"
1990-05-01,"905115"
1990-05-01,"997471"
1990-05-01,"905190"
1990-05-01,"902306"
1990-05-01,"902190"
1990-05-01,"902317"
1990-05-01,"905039"
1990-05-01,"905082"
1990-05-01,"905016"
1990-05-01,"916901"
1990-05-01,"951849"
1990-05-01,"921456"
1990-05-01,"921182"
1990-05-01,"912369"
1990-05-01,"923443"
1990-05-01,"902251"
1990-05-01,"930480"
1990-05-01,"951048"
1990-05-01,"923464"
1990-05-01,"912138"
1990-05-01,"921831"
1990-05-01,"902230"
1990-05-01,"904259"
1990-05-01,"912481"
1990-05-01,"906188"
1990-05-01,"923449"
1990-05-01,"951018"
1990-05-01,"544083"
1990-05-01,"907652"
1990-05-01,"906150"
1990-05-01,"912252"
1990-05-01,"905801"
1990-05-01,"905171"
1990-05-01,"912223"
1990-05-01,"912251"
1990-05-01,"905125"
1990-05-01,"906511"
1990-05-01,"904835"
1990-05-01,"916145"
1990-05-01,"921875"
1990-05-01,"905078"
1990-05-01,"923564"
1990-05-01,"906179"
1990-05-01,"904837"
1990-05-01,"904363"
1990-05-01,"905898"
1990-05-01,"902260"
1990-05-01,"905403"
1990-05-01,"921697"
1990-05-01,"904678"
1990-05-01,"905609"
1990-05-01,"912719"
1990-05-01,"921969"
1990-05-01,"916107"
1990-05-01,"921460"
1990-05-01,"905409"
1990-05-01,"944195"
1990-05-01,"912030"
1990-05-01,"902262"
1990-05-01,"921049"
1990-05-01,"905129"
1990-05-01,"905077"
1990-05-01,"905277"
1990-05-01,"916209"
1990-05-01,"998171"
1990-05-01,"921050"
1990-05-01,"906191"
1990-05-01,"902197"
1990-05-01,"905027"
1990-05-01,"904842"
1990-05-01,"916860"
1990-05-01,"923400"
1990-05-01,"906174"
1990-05-01,"905052"
1990-05-01,"515133"
1990-05-01,"905446"
1990-05-01,"912227"
1990-05-01,"922726"
1990-05-01,"905804"
1990-05-01,"997329"
1990-05-01,"921397"
1990-05-01,"906187"
1990-05-01,"905050"
1990-05-01,"904069"
1990-05-01,"930055"
1990-05-01,"916351"
1990-05-01,"912212"
1990-05-01,"907677"
1990-05-01,"906406"
1990-05-01,"906366"
1990-05-01,"729935"
1990-05-01,"905922"
1990-05-01,"905142"
1990-05-01,"902354"
1990-05-01,"905516"
1990-05-01,"916839"
1990-05-01,"912134"
